year,target
5282,-13.63169
5283,-16.175594
5284,-18.77992
5285,-19.590483
5286,-20.03376
5287,-18.556942
5288,-19.5054
5289,-18.521297
5290,-19.098814
5291,-19.321892
5292,-19.073227
5293,-18.953045
5294,-18.144442
5295,-12.32149
5296,-11.868203
5297,-9.906686
5298,-10.527281
5299,-11.371664
5300,-7.786351
5301,-13.1372385
5302,-15.302622
5303,-17.812817
5304,-25.472933
5305,-29.352839
5306,-29.255238
5307,-33.696037
5308,-30.358564
5309,-40.655537
5310,-35.687714
5311,-31.32928
5312,-23.748816
5313,-24.899656
5314,-19.536282
5315,-19.72027
5316,-19.960363
5317,-19.560734
5318,-18.197796
5319,-17.875582
5320,-16.913738
5321,-18.34758
5322,-12.391573
5323,-14.46085
5324,-14.2452135
5325,-14.25773
5326,-9.632449
5327,-9.573568
5328,-9.332464
5329,-9.032814
5330,-11.333009
5331,-12.637234
5332,-14.050027
5333,-15.115225
5334,-13.655429
5335,-12.987726
5336,-11.278186
5337,-10.689536
5338,-12.581193
5339,-16.453098
5340,-16.613699
5341,-12.206846
5342,-17.932747
5343,-20.837402
5344,-19.764263
5345,-19.954119
5346,-18.855349
5347,-20.680649
5348,-17.369549
5349,-14.524736
5350,-15.153486
5351,-11.401119
5352,-11.372708
5353,-19.376629
5354,-18.751038
5355,-21.184158
5356,-10.722824
5357,-12.030356
5358,-13.616251
5359,-17.260792
5360,-19.476557
5361,-19.12851
5362,-19.226988
5363,-19.0173
5364,-19.324656
5365,-19.580294
5366,-20.069517
5367,-19.306284
5368,-19.017996
5369,-16.370243
5370,-13.568651
5371,-15.75683
5372,-14.564436
5373,-12.722877
5374,-12.169646
5375,-11.430515
5376,-12.636442
5377,-12.298627
5378,-15.612242
5379,-17.869305
5380,-18.498674
5381,-19.152529
5382,-19.192402
5383,-19.072525
5384,-19.07371
5385,-18.876196
5386,-19.01422
5387,-20.298727
5388,-19.678604
5389,-19.488604
5390,-17.75383
5391,-15.846245
5392,-12.8157425
5393,-13.525135
5394,-18.028223
5395,-17.8236
5396,-17.743923
5397,-17.723652
5398,-15.59894
5399,-12.762195
5400,-15.069449
5401,-13.304197
5402,-11.8863945
5403,-12.662206
5404,-15.000374
5405,-15.991724
5406,-18.364817
5407,-15.053663
5408,-14.028913
5409,-14.693983
5410,-14.91885
5411,-14.601252
5412,-14.617612
5413,-14.946367
5414,-14.297681
5415,-13.515766
5416,-14.47044
5417,-13.367071
5418,-12.691291
5419,-12.12493
5420,-14.958157
5421,-17.693829
5422,-14.124251
5423,-5.8722153
5424,-6.5416975
5425,-7.9423437
5426,-10.490824
5427,-12.7543
5428,-12.706336
5429,-13.8231325
5430,-15.022281
5431,-13.977735
5432,-12.535942
5433,-12.5887985
5434,-12.135378
5435,-12.246462
5436,-14.1008
5437,-14.226313
5438,-14.152906
5439,-15.7803955
5440,-13.678144
5441,-12.441603
5442,-12.055815
5443,-9.961409
5444,-9.793147
5445,-8.756165
5446,-9.143986
5447,-9.478908
5448,-9.322779
5449,-7.521473
5450,-8.565352
5451,-11.357663
5452,-13.25536
5453,-16.723724
5454,-17.858969
5455,-18.880146
5456,-18.703644
5457,-18.356861
5458,-19.268476
5459,-20.084259
5460,-19.224108
5461,-19.383484
5462,-18.053448
5463,-17.673265
5464,-17.97967
5465,-17.927454
5466,-17.314264
5467,-13.46302
5468,-12.873606
5469,-12.553864
5470,-13.106189
5471,-13.3146105
5472,-11.460311
5473,-12.344837
5474,-14.125128
5475,-17.144218
5476,-19.430626
5477,-19.67371
5478,-19.651194
5479,-16.677002
5480,-14.048566
5481,-15.838388
5482,-18.128159
5483,-13.794041
5484,-14.52182
5485,-14.1627245
5486,-14.521039
5487,-13.2568245
5488,-12.60668
5489,-6.346521
5490,-8.170282
5491,-6.7909565
5492,-7.2343874
5493,-9.539974
5494,-7.8811426
5495,-6.481333
5496,-7.5626707
5497,-7.501004
5498,-5.856599
5499,-7.2802887
5500,-9.0025
5501,-12.023435
5502,-12.269729
5503,-12.322007
5504,-9.439386
5505,-11.587042
5506,-11.536017
5507,-12.408198
5508,-12.573763
5509,-12.88679
5510,-12.774529
5511,-13.033356
5512,-11.759795
5513,-9.445711
5514,-9.184958
5515,-9.958073
5516,-9.779282
5517,-8.684047
5518,-6.4503965
5519,-2.8577602
5520,-3.3701892
5521,-5.2092953
5522,-9.522254
5523,-12.695617
5524,-13.274871
5525,-14.814784
5526,-17.716606
5527,-17.777407
5528,-18.93325
5529,-16.546114
5530,-16.808151
5531,-19.090687
5532,-19.985077
5533,-19.01322
5534,-18.414093
5535,-18.474062
5536,-17.30104
5537,-17.162622
5538,-16.09234
5539,-12.274875
5540,-13.951563
5541,-14.558442
5542,-13.609561
5543,-11.996327
5544,-11.413752
5545,-11.487512
5546,-12.38611
5547,-12.873655
5548,-17.486252
5549,-18.72776
5550,-19.005424
5551,-18.794056
5552,-19.871637
5553,-19.543583
5554,-19.536783
5555,-20.001747
5556,-19.951588
5557,-20.079292
5558,-18.956331
5559,-19.392246
5560,-19.280901
5561,-19.35796
5562,-18.857954
5563,-18.168556
5564,-16.745893
5565,-17.827734
5566,-17.70034
5567,-13.87212
5568,-12.302244
5569,-11.93465
5570,-12.249997
5571,-14.022194
5572,-14.738788
5573,-15.363702
5574,-15.148197
5575,-17.891811
5576,-18.770233
5577,-18.585932
5578,-18.946697
5579,-18.561958
5580,-18.615204
5581,-16.412796
5582,-12.531254
5583,-12.511014
5584,-11.595162
5585,-11.464153
5586,-12.408133
5587,-12.238447
5588,-11.47432
5589,-10.698747
5590,-11.818468
5591,-11.937651
5592,-11.848023
5593,-10.851259
5594,-11.464369
5595,-13.807376
5596,-9.341382
5597,-9.003999
5598,-6.9052215
5599,-6.973992
5600,-7.4927106
5601,-8.942202
5602,-7.6078653
5603,-6.0065484
5604,-8.451827
5605,-6.9059854
5606,-3.6367989
5607,-2.0289235
5608,-4.610943
5609,-7.6581364
5610,-6.47126
5611,-6.226676
5612,-5.023104
5613,-5.0526366
5614,-4.8467126
5615,-5.1118464
5616,-9.038597
5617,-4.929793
5618,-7.282815
5619,-9.690249
5620,-8.890209
5621,-7.3876863
5622,-5.27593
5623,-5.6914515
5624,-5.275547
5625,-5.80248
5626,-5.3299446
5627,-5.033403
5628,-4.7236123
5629,-6.3378205
5630,-8.355646
5631,-8.110294
5632,-10.717357
5633,-8.94067
5634,-6.1817064
5635,-5.895789
5636,-4.9103284
5637,-5.1252966
5638,-6.1763515
5639,-7.072342
5640,-5.1386743
5641,-7.369793
5642,-10.139226
5643,-11.408247
5644,-10.639955
5645,-13.891819
5646,-14.980352
5647,-14.209579
5648,-17.231297
5649,-20.995838
5650,-34.129227
5651,-36.320866
5652,-38.070557
5653,-35.72132
5654,-37.01835
5655,-35.398182
5656,-38.6309
5657,-39.400623
5658,-36.092686
5659,-36.120388
5660,-33.22868
5661,-36.784443
5662,-38.681202
5663,-40.308613
5664,-39.452274
5665,-38.366947
5666,-35.691975
5667,-36.522728
5668,-35.314827
5669,-38.538437
5670,-39.67399
5671,-39.427883
5672,-36.278843
5673,-23.707798
5674,-15.81498
5675,-13.811561
5676,-12.487662
